User_Id	NAICSCd	NAICSYrNmb	NAICSPrimInd	NAICSGreenInd	NAICSSmllBusInd	NAICSEmrgSmllBusInd
P1064735	311411	2007	N	N	Y	N
P1064735	311421	2007	Y	N	Y	N
P1064735	541110	1997	Y	N	Y	N
P1064735	236220	2007	Y	N	N	N
P1064783	541310	2007	N	N	Y	Y
P1064783	541330	2007	Y	N	Y	Y
P1064783	561730	2007	N	N	Y	Y
P1064784	323110	2007	Y	N	Y	N
P1064785	541511	1997	Y	N	Y	N
P1064786	221330	2007	N	N	Y	N
P1064786	236210	2007			Y	Y
P1064786	236220	2007			Y	Y
P1064786	238220	2007	Y		Y	Y
P1064786	332322	2007	N	N	Y	N
P1064786	561210	2007	N	N	Y	N
P1064786	811310	2007	N	N	Y	N
P0000595	326291	2007	Y	N	Y	N
P0000632	511110	2007	Y	N	Y	N
P0000664	541330	2007	Y	N	Y	Y
P0000664	541340	2007			Y	N
P0000664	541350	2007			Y	N
P0000664	541370	2007			Y	Y
P0000671	315211	2007	N	N	Y	N
P0000671	327212	2007	N	N	Y	N
P0000671	327215	2007	Y	N	Y	N
P0000671	333314	2007	N	N	Y	N
P0000671	334516	2007	N	N	Y	N
P0000671	423490	2007	N	N	Y	N
P0000782	512110	1997	Y	N	Y	N
P0000782	541511	1997	N	N	Y	N
P0000782	541512	1997	N	N	Y	N
P0000782	541820	1997	N	N	Y	N
P0000812	541310	1997	Y	N	Y	Y
P0000812	541330	1997	N	N	Y	Y
P0000812	561210	1997	N	N	Y	N
P0000919	236210	2007	N	N	Y	Y
